area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
201,EST,New Jersey,"Hackensack, Jersey City, Union City, Rutherford, Leonia",-5,-4
202,EST,District of Columbia,"Washington, District of Columbia",-5,-4
203,EST,Connecticut,"Bridgeport, New Haven, Stamford, Waterbury, Norwalk, Danbury, Greenwich",-5,-4
205,CST,Alabama,"Birmingham, Huntsville, Tuscaloosa, Anniston",-6,-5
206,PST,Washington,"Seattle, Everett",-8,-7
207,EST,Maine,Maine: All regions,-5,-4
208*,MST,Idaho,Idaho: All regions *(Area Code crosses into PST time zone),-7,-6
209,PST,California,"Stockton, Modesto, Merced, Oakdale",-8,-7
210,CST,Texas,San Antonio,-6,-5
212,EST,New York,New York City (Manhattan only),-5,-4
213,PST,California,"Los Angeles, Compton",-8,-7
214,CST,Texas,Dallas,-6,-5
215,EST,Pennsylvania,"Philadelphia, Lansdale, Doylestown, Newtown, Quakertown",-5,-4
216,EST,Ohio,"Cleveland, Terrace, Independence, Montrose",-5,-4
217,CST,Illinois,"Springfield, Champaign Urbana, Decatur, Central Illinois",-6,-5
218,CST,Minnesota,"Duluth, Virginia, Moorhead, Brainerd, Wadena",-6,-5
219*,CST,Indiana,"Gary, Hammond, Merrillville, Portage, Michigan City, Valparaiso *(Area Code crosses into EST time zone)",-6,-5
220,EST,Ohio,Overlay of 740 Area Code.,-5,-4
224,CST,Illinois,Overlay of 847 area code (Chicago),-6,-5
225,CST,Louisiana,Baton Rouge and Surrounding Areas,-6,-5
228,CST,Mississippi,"Gulfport, Biloxi, Pascagoula, Bay St. Louis",-6,-5
229,EST,Georgia,"Albany, Valdosta, Thomasville, Bainbridge, Tifton, Americus, Moultrie, Cordele",-5,-4
231,EST,Michigan,"Muskegon, Traverse City, Big Rapids, Cadillac, Cheboygan",-5,-4
234,EST,Ohio,Overlay of 330 Area Code,-5,-4
239,EST,Florida,"Ft. Myers, Naples, Cape Coral, Bonita Springs, Immokalee, Lehigh Acres, Sanibel, Captiva, Pine Island",-5,-4
240,EST,Maryland,Overlay of 301 Area Code (Maryland),-5,-4
248,EST,Michigan,"Troy, Pontiac, Royal Oak, Birmingham, Rochester, Farmington Hills",-5,-4
251,CST,Alabama,"Mobile, Prichard, Tillmans Corner, Fairhope, Jackson, Gulfshores",-6,-5
252,EST,North Carolina,"Greenville, Rocky Mount, Wilson, New Bern",-5,-4
253,PST,Washington,"Tacoma, Kent, Auburn",-8,-7
254,CST,Texas,"Waco, Killeen, Temple",-6,-5
256,CST,Alabama,"Huntsville, Anniston, Decatur, Gadsden, Florence",-6,-5
260,EST,Indiana,"Fort Wayne, Huntington, Wabash, Lagrange",-5,-4
262,CST,Wisconsin,"Green Bay, Appleton, Racine, Kenosha, Oshkosh, Waukesha, Menomonee Falls, West Bend, Sheboygan",-6,-5
267,EST,Pennsylvania,Overlay of 215 Area Code (Philadelphia Area),-5,-4
269,EST,Michigan,"Kalamazoo, Battle Creek, St. Joseph, Three Rivers, South Haven, Benton Harbor, Sturgis, Hastings",-5,-4
270*,CST,Kentucky,"Bowling Green, Paducah, Owensboro, Hopkinsville *(Area Code crosses into EST time zone)",-6,-5
272,EST,Pennsylvania,Overlay of 570 Area Code.,-5,-4
276,EST,Virginia,"Martinsville, Abingdon, Wytheville, Bristol, Marion, Collinsville",-5,-4
281,CST,Texas,"Houston, Sugar Land, Buffalo, Airline, Greenspoint, Spring",-6,-5
301,EST,Maryland,"Rockville, Silver Spring, Bethesda, Gaithersburg, Frederick, Laurel, Hagerstown",-5,-4
302,EST,Delaware,Delaware: All regions,-5,-4
303,MST,Colorado,"Denver, Littleton, Englewood, Arvada, Boulder, Aurora",-7,-6
304,EST,West Virginia,West Virginia: All regions,-5,-4
305,EST,Florida,"Miami, Perrine, Homestead, Florida Keys",-5,-4
307,MST,Wyoming,Wyoming: All regions,-7,-6
308*,CST,Nebraska,"Grand Island, Kearney, North Platte, Scottsbluff *(Area Code crosses into MST time zone)",-6,-5
309,CST,Illinois,"Peoria, Bloomington, Rock Island, Galesburg, Macomb",-6,-5
